address,pool_id,airdrop_amount,debt_total
osmo103w2uwpdf9p708c83nkyd0ys6fgqt94tdvjtgn,712,"104163ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,27924435uosmo","849822ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,235744093uosmo"
osmo109aaa6tftveephmkppldkgjlj70t6cdx2gcx88,678,"39330ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,34606uosmo","265456ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,237416uosmo"
osmo10dc7lataqm62tze9tm47f8sesrws709zfd3xhh,678,"142168ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,125091uosmo","208361ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,186351uosmo"
osmo10qx8j604ll0tkzvel704z97hukwsmfmy3ttyf9,678,"2039ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,1794uosmo","13760ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,12307uosmo"
osmo10rgny3xd5fvg02wnmy4h9zuktnfthvrlwdjwf5,1,"116949ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,914797uosmo","4667423ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,39322212uosmo"
osmo10t26acjmemggsahq6uvyucm4tj3z0mhz23ljh2,712,"9367ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,2511078uosmo","222339294ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,60175535790uosmo"
osmo12098ugn5gac6qnhcys065dxa29g6szdpe2zvyn,1,"238308ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,1864100uosmo","732301ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,6169506uosmo"
osmo127cz3qd25qefq2d3l8zdl9xqzatskjcq4n5eg2,1,"290ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2264uosmo","22769ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,191830uosmo"
osmo12asyaccxrau33q8l780cgzkyzydqngfvla7deg,1,"29349ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,229580uosmo","466154ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,3927264uosmo"
osmo12z2kh4c4ur3vu2acudsahhx2qvlf29hpkaes4a,678,"140076ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,123249uosmo","735435ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,657750uosmo"
