height,txhash,code,gas_wanted,gas_used,timestamp,@type,poolId,sender,shares,token0_denom,token0_amount,token1_denom,token1_amount
4707356,70B49710B7FAA9654793C08D8652609EAFD54CDF27D44E3871A29554D6187F55,0,250000,104513,2022-06-07T16:43:58Z,/osmosis.gamm.v1beta1.MsgExitPool,678,osmo1nl09n46sfnk0z8jk33mvu9u6lz5ymqj4hmj84x,1314044680092746610412,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,6449281352,uosmo,5782144392
4707357,0913F5BF1AA5D4547EB01278783651D16AEA1C891EE313B7932D67506AA19972,0,651384,595586,2022-06-07T16:44:04Z,/osmosis.gamm.v1beta1.MsgJoinPool,712,osmo1rsks3gfv2rcf3atj8gs09yyhrftyn7j5vuu9v7,2603219524874627876,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,73481,uosmo,19702574
4707358,AA2FE8038D6305201DE1EAA7D8BD3B34070B3CA9642B655EEFD8DB212119FCA2,0,340000,298346,2022-06-07T16:44:21Z,/osmosis.gamm.v1beta1.MsgJoinPool,648,osmo1jxpztalf3skjftyrlf3tpd3c94g2nqkanr7c3a,130016939323421288959614,ibc/8061A06D3BD4D52C4A28FFECF7150D370393AF0BA661C3776C54FF32836C3961,417884339889375580929,uosmo,77474244
4707366,38E6DC06722EA8C40AEE020CCEEAC70B073305BED72749FF4E2BCEB3DBA57998,0,150000,103935,2022-06-07T16:45:22Z,/osmosis.gamm.v1beta1.MsgExitPool,561,osmo10d65jzky0vhzhccdvv9yxew8rt7cnenheeg82a,14000920987598699400,ibc/0EF15DF2F02480ADE0BB6E85D9EBB5DAEA2836D3860E9F97F9AADE4F57A31AA0,4654424492,uosmo,230299
4707371,15F84A7F0DF54A228FCBF13845C331DC0A7A768DC6184DE913AE36F41D746181,0,457249,384469,2022-06-07T16:45:54Z,/osmosis.gamm.v1beta1.MsgJoinPool,1,osmo1vtmpjl927zgwa8ht6mt75zsfyx75xdqpcu4atn,2219234359761116169,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,30887,uosmo,240498
4707371,15F84A7F0DF54A228FCBF13845C331DC0A7A768DC6184DE913AE36F41D746181,0,457249,384469,2022-06-07T16:45:54Z,/osmosis.gamm.v1beta1.MsgJoinPool,1,osmo1vtmpjl927zgwa8ht6mt75zsfyx75xdqpcu4atn,2219234359761116169,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,30887,uosmo,240498
4707372,1B52B707469EE8FA455DCE4663F882D526CFE97FAAB40ADA4D280CDDED8223FD,0,250000,104409,2022-06-07T16:46:11Z,/osmosis.gamm.v1beta1.MsgJoinPool,678,osmo1mxpjsl4gppu3al5c0hm5ttm8hf9zpdhctafmxy,28822519257694,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,148,uosmo,133
4707374,7C0EADC5244DBF86BCF6C73CBD6F84AA4BD6585067CC2733F0A2321201A1064C,0,250000,104246,2022-06-07T16:46:28Z,/osmosis.gamm.v1beta1.MsgExitPool,678,osmo1wnc5emxmftn2kzrjpftu8eyraffc5cwftgp65n,100000000000000000,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,478510,uosmo,428475
4707384,0185FEE0C4A53266C1277F237A336C22C52C128165367902DF4EA8A52B114508,0,170000,168699,2022-06-07T16:47:42Z,/osmosis.gamm.v1beta1.MsgJoinPool,573,osmo1ltuj2v832rsxgfcfk696r9zm0rm2j26as7wn3x,92610292050560500,ibc/4E5444C35610CC76FC94E7F7886B93121175C28262DDFDDE6F84E82BF2425452,199048768,uosmo,2873281
4707388,A7DCAE9C76BA2322E7F6DCF6567C9A2831D5A5D426636876B579181803C010DD,0,2000000,282825,2022-06-07T16:48:07Z,/osmosis.gamm.v1beta1.MsgJoinPool,678,osmo1akm0t858fwhk73982p9wz53hwvvvl4a5gc25lq,340261241607376223,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,1756684,uosmo,1573076
