address,pool_id,shares_inflated,shares_inflated_locked,tokens_stolen,tokens_owed
osmo1060t4vlql9ngh4jj4h67nsyu4lmljyd8pesy5q,1,0,6337397659875570553,,
osmo10678cw3ts8xlt5gftju2gagz7mfkrs052j7a00,1,0,23136296384054444,,
osmo10amfgz727decdtg0ues0twf0ngf8qvscnrflsh,1,217635871083225,,,
osmo10hfp70p9nucq7grtmasskyut7qt9ezp0645h02,1,,,,"708ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,5580uosmo"
osmo10ppp525dl5fxmvwxrtkds40vzkzchrxnemg858,1,0,2190166987223601,,
osmo10qqmqnknlz4ejgqztfz7302scnsv2ese57atqr,1,0,121390667181264,,
osmo10qx8j604ll0tkzvel704z97hukwsmfmy3ttyf9,1,,,,"2ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,13uosmo"
osmo10rgny3xd5fvg02wnmy4h9zuktnfthvrlwdjwf5,1,0,368335246583107457914,,
osmo10sp2ean8c8j5pnsyaccea5f6h5hpjhl24ntk4d,1,0,5319319330874942727,,
osmo10szx4rjj949na2ajsyfclzmje44pwqd3v7k0c0,1,0,6035680059967334,,
osmo10xnqv49h7hh0gfspl7pq6w5nfqtkvj4rxzhel9,1,,,,"62222ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,487786uosmo"
osmo10y22qxv5cq5st29kyuxuancx065tn3s9kcq659,1,0,4445550381486206,,
osmo12098ugn5gac6qnhcys065dxa29g6szdpe2zvyn,1,0,57790409574511808439,,
osmo120qgdephqrn4vzf8pan77ekz488ydtxhggzu99,1,164460240569822123699,,,
osmo126yahr704qnjar6t7ykdvuq43yujvl4m5lx0xh,1,0,11145775027961495378,,
osmo127cz3qd25qefq2d3l8zdl9xqzatskjcq4n5eg2,1,1796894197355773481,,,
osmo127rxtmsja3jses3dhq7nj2stkq53j3cw27yjlu,1,,,,"16879ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,132905uosmo"
osmo129xvhtfhplpul2tgqy9ufm40u62667f0qxgmw2,1,,,,"8901ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,70164uosmo"
osmo12asyaccxrau33q8l780cgzkyzydqngfvla7deg,1,36787096315989520798,,,
osmo12eqgmrepnd8404ugkefv9djn7hzvhy8vudzz42,1,0,10409827473570,,
osmo12f6ae0wuf8g56r975mkxhp7x26flfpuhvdv9sx,1,0,2428657613324249,,
osmo12hrhl7jv3jsdpknm2402c9cr0ksfzpexlau82x,1,0,10529495609672990119,,
osmo12llk842x8c8u34ay29npmpa8cd7z6lkx9jtud3,1,0,27541061915470516844,,
osmo12pgtk90nlrzqftdl2w9kewe6rrkzaszk2c9umm,1,0,293655937955489740,,
osmo12sua5rwelhad404xamf86escnh2msje6r3xp7p,1,,,,"60ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,466uosmo"
osmo12x5cynhwhn0wpuzwww6c05n680uek5yck2uu6y,1,0,45334987995622500411,,
osmo12zkpu48ssu0h32uaccz29f5z6atyle7j6tpyeg,1,0,310017129422977375148,,
osmo130rz7quk338jg3qf083qw0nqydpfgmusugvqxn,1,0,16189021477990685236,,
osmo132c0nklmwcu85f07er56ftjtq2hr6l49znytst,1,,,,"47ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,366uosmo"
osmo13cag74s9tuc4q3tr7n29r99w0vksxuztk3kxa6,1,0,276931153697833,,
osmo13f0eg9yxkckz45fw0dsaxzejpldld6vpmmp7j7,1,,,,"708ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,5596uosmo"
osmo13f74p36f3fs42ty4jq6dp62w2z6zmy8pmmq9ag,1,0,28309959810886877969,,
osmo13gu73wcxa084n74fhxdgxfv3z8qe5h6em0cj7j,1,0,4355988771923635,,
osmo13j44mhvhafkpxqjfz6zrknverjc67jcc8gj7qr,1,0,812833959009143845578,,
osmo13jasrraq2z0nt8v087t87utaat9ne4ccfx2rqt,1,0,75698859460823981,,
osmo13jtanfzdredkhk2zqvruyy75q0wuu2yyhayq3r,1,0,2137078055852872,,
osmo13kj8rk8glvc5c0xftcmm2n8l6m8ep0yrk9xzk4,1,,,,"14453ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,113438uosmo"
osmo13mge79znmgpd0pw2flxdmjclnpztfz8s5c683h,1,0,10037884607356,,
osmo13t4fs279dq0ne2lk7juyxfhfsnz9gsfw73f5tu,1,0,295974838737097334409,,
osmo13umvqtgu8qnvktye6mzkshjs678g6kuyur0mgp,1,0,43664042557607437806,,
osmo13v04eleavls6pudptc0lg7t3yte6fxn7tshdjv,1,,,,"403103ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,3238959uosmo"
osmo13y67n032f3wsfsu4wp5mu22mtnal473j9zqpmd,1,0,276238277467552003977,,
osmo14298k3tjzzgd25qv28myu4yx36jcfdkaf37alk,1,0,10001455873698,,
osmo1447ffn7mtr53trn4egr73qg08fxr9tle2rr98x,1,0,202016930008048055,,
osmo144rn45fkl032xdhr6z3lz6p0ld2hj9jakdmgwe,1,0,10480564148468572180,,
osmo147c8lg8vsezqwfagags2f7y8g3jshvrg2qaau3,1,0,216921601129615610519,,
osmo147pzq9n4c82cenvpylsg3mj52dv5qtar2j3hne,1,0,544604975808215,,
osmo147tksvdufp9me6mzgdrx8dun7pyd8v9qep29u6,1,0,186828812489204,,
osmo14mz27u8mqdhh5wqpv6qkxkcvalxw2gxejjrxx4,1,0,2762405310480055224,,
osmo14p8rnu4c3j4jp5dqsm2qm5ndddzrk6nl8una3y,1,0,63538487260069,,
osmo14pakf28w2vmeemfcfhlt3xgpah24548lzdp5c8,1,0,10046083999540457270,,
osmo14pywyr7x0szy5paxe8j3gc0ye3un7pjz7au3hq,1,0,84720678393012248738,,
