block,code,msg_type,sender,pool_id,share_out,denom_1,amount_1,denom_2,amount_2
4707357,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1lj72jml6hw635cek9hep62u3hvfwng9e2e3r09,606,2183028319293324558852,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,65063,ibc/B9E0A1A524E98BB407D3CED8720EFEFD186002F90C1B1B7964811DD0CCC12228,12382929384
4707362,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1rsks3gfv2rcf3atj8gs09yyhrftyn7j5vuu9v7,712,3903519659099240076,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,71690,uosmo,19222025
4707362,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1jxpztalf3skjftyrlf3tpd3c94g2nqkanr7c3a,648,130016939323421211876746,ibc/8061A06D3BD4D52C4A28FFECF7150D370393AF0BA661C3776C54FF32836C3961,407692038916463981396,uosmo,75584630
4707383,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1vtmpjl927zgwa8ht6mt75zsfyx75xdqpcu4atn,1,3327724050960207545,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,30135,uosmo,234633
4707385,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1z98eg2ztdp2glyla62629nrlvczg8s7f8sgpm5,597,71939629717184710670,ibc/FE2CD1E6828EC0FAB8AF39BAC45BC25B965BA67CCBC50C13A14BD610B0D1E2C4,506986849,uosmo,10000000
4707387,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1mxpjsl4gppu3al5c0hm5ttm8hf9zpdhctafmxy,678,43383443519119,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,146,uosmo,131
4707387,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1nl09n46sfnk0z8jk33mvu9u6lz5ymqj4hmj84x,712,1197976972779704593189,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,21986648,uosmo,5904419000
4707398,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo18e9g3kfkzc9n9aet5c9eqwvt6ay5raar8m9e6q,722,28253828031285243781,ibc/6AE98883D4D5D5FF9E50D7130F1305DA2FFA0C652D1DD9C123657C6B4EB2DF8A,1999955267260136674,uosmo,3725000
4707399,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1pq7mnp9wk5mzeus9gz047ajalzcl2q7pvey5j4,712,3937082154080190497,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,72200,uosmo,19389808
4707401,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1ey67pvamgg0hfv7q72zkfcf9nrw927f5akhp8y,712,6299327254628655834,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,115519,uosmo,31023582
4707407,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1ltuj2v832rsxgfcfk696r9zm0rm2j26as7wn3x,573,138868630033148525,ibc/4E5444C35610CC76FC94E7F7886B93121175C28262DDFDDE6F84E82BF2425452,194193921,uosmo,2803201
4707409,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1akm0t858fwhk73982p9wz53hwvvvl4a5gc25lq,678,510221732969028828,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,1713782,uosmo,1534762
4707416,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo12asyaccxrau33q8l780cgzkyzydqngfvla7deg,1,110434995160557996331,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,999997,uosmo,7786982
4707417,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1g66a5sn0fgfw9wskzvlw39rsxgq9lqd6alweck,678,59748936151678057356,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,200698091,uosmo,179720117
4707423,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1x63tv5csgv6mpsckq90p6h3tlufuxv35lceay7,690,5285788736891885722,ibc/CBA34207E969623D95D057D9B11B0C8B32B89A71F170577D982FDDE623813FFC,5999997,uosmo,453114
4707429,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo12asyaccxrau33q8l780cgzkyzydqngfvla7deg,497,3136229255099975222,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED,1999997,uosmo,6322643
4707433,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo17urqyrawvju9u3t345d6v3e5ty3mk3hft3aa3v,722,41873703223957939318,ibc/6AE98883D4D5D5FF9E50D7130F1305DA2FFA0C652D1DD9C123657C6B4EB2DF8A,2963658963041915287,uosmo,5521316
4707434,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1u5m59uvat5wakk9w3d5fgrnxryfkn6krm4qsx5,1,275347210768138039069,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2493393,uosmo,19414443
4707434,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1ufvxkljcsy9u38vjj06j2x0fxy962xwxgmdfa0,1,1526983708055347187,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,13828,uosmo,107668
4707435,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1ey67pvamgg0hfv7q72zkfcf9nrw927f5akhp8y,1,110143514231372110867,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,997399,uosmo,7766103
4707436,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1evxw84lfmevdajh6xelu4rp46kux8fmjxkw4sr,712,5458902897133493751,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,100106,uosmo,26884680
4707440,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1qurmjyezm4yy3tuhwgelpjcwrtd40ftcwpl5yd,9,86643030214166628540006,ibc/E6931F78057F7CC5DA0FD6CEF82FF39373A6E0452BF1FD76910B93292CF356C1,49366422593,uosmo,77207593
